		//Abilities
		"solunia_q"															"Solar and Lunar Napalm"
        "property_solunia_arcana3_description"                              "Replaces @Ability2 and all of its runes with Solar and Lunar Vorpal Blades."

        "DOTA_Tooltip_ability_solunia_vorpal_blades_solar"                    "Solar Vorpal Blades"             
        "DOTA_Tooltip_ability_solunia_vorpal_blades_solar_Description"        "Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_FIRE>Огонь</font><br>Выбрасывает 3 острых лезвия, преследующих противников в радиусе 1000 от героя. Лезвия наносят урон при ударе и отскакивают на стоящих рядом противников."
        "DOTA_Tooltip_ability_solunia_vorpal_blades_solar_damage"             "УРОН:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_solar_max_blades"           "МАКСИМУМ ЛЕЗВИЙ ОДНОВРЕМЕННО:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_solar_base_bounces"         "ОТСКОКИ:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_solar_atk_power_added_to_dmg" "% УРОН АТАКИ К УРОНУ ЛЕЗВИЙ:"

        "DOTA_Tooltip_modifier_vorpal_blades_counter_solar"                           "Активные Solar Vorpal Blades"

        "DOTA_Tooltip_ability_solunia_vorpal_blades_lunar"                    "Lunar Vorpal Blades"             
        "DOTA_Tooltip_ability_solunia_vorpal_blades_lunar_Description"        "Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_ICE>Лёд</font><br>Выбрасывает 3 острых лезвия, преследующих противников в радиусе 1000 от героя. Лезвия наносят урон при ударе и отскакивают на стоящих рядом противников."
        "DOTA_Tooltip_ability_solunia_vorpal_blades_lunar_damage"             "УРОН:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_lunar_max_blades"           "МАКСИМУМ ЛЕЗВИЙ ОДНОВРЕМЕННО:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_lunar_base_bounces"         "ОТСКОКИ:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_lunar_atk_power_added_to_dmg" "% УРОН АТАКИ К УРОНУ ЛЕЗВИЙ:"

        "DOTA_Tooltip_modifier_vorpal_blades_counter_lunar"                         "Активные Lunar Vorpal Blades"

        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic"                    "Galactic Vorpal Blades"             
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_Description"        "Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_FIRE>Огонь</font><br>Выбрасывает 3 острых лезвия, преследующих противников в радиусе 1000 от героя. Лезвия наносят урон при ударе и отскакивают на стоящих рядом противников."
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_damage"             "УРОН:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_max_blades"           "МАКСИМУМ ЛЕЗВИЙ ОДНОВРЕМЕННО:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_base_bounces"         "ОТСКОКИ:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_atk_power_added_to_dmg" "% СИЛЫ АТАКИ ДОБАВЛЯЕТСЯ К УРОНУ ЛЕЗВИЙ:"

        "DOTA_Tooltip_modifier_vorpal_blades_counter_galactic"                         "Активные Galactic Vorpal Blades"

        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3"                     "[W1] Binary Rift"
        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3_Description"         "Дает лезвиям @Ability2 <% SOLUNIA_ARCANA_W1_CRIT_CHANCE %>% шанс нанести критический урон."
        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3_property_one"        "Дополнительный Критический Урон"
        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3_suffix"              "%"

        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3"                     "[W2] Blades of Neptune"
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_Description"             "Vorpal Blades восстанавливают Ману при попадании по противнику, а также наносят урон в зависимости от текущей Маны."
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_property_one"            "Маны Восстановлено"
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_suffix"                  " за удар" 
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_property_two"            "Дополнительный Урон"
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_suffix_two"              "% от текущей маны" 


        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3"                     "[W3] Aphelion Weapon"
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_Description"         "Увеличивает затраты Маны на прочтение [W] и увеличивает её Базовый Урон Способности."
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_property_one"            "Доп. Затраты Маны"
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_suffix"                  ""
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_property_two"            "Базовый Урон Способности [W]"
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_suffix_two"             "%"



        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3"                     "[W4] Elliptical Orbit"
        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3_Description"         "Лезвия могут откакивать от целей несколько раз подряд. Шанс выше 100% означает возможность множественных отскоков."
        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3_property_one"        "Шанс на дополнительный отскок"
        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3_suffix"              "%"

        
		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_1_1"		"[T1-1] Glyph of Orbital Nuke"
		"item_rpc_solunia_glyph_1_1_description" 				"Создаёт область с вакуумом радиусом <% SOLUNIA_GLYPH_1_1_RADIUS %> в точке каста @Ability1, которая толкает противников в сторону указанной точки."

        "DOTA_Tooltip_modifier_solunia_glyph_1_1_pull"          "Orbital Nuke"
        "DOTA_Tooltip_modifier_solunia_glyph_1_1_pull_Description"  "Обездвижен" 
        
        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_2_1"       "[T2-1] Glyph of Azimuth"
        "item_rpc_solunia_glyph_2_1_description"                "Запускает <% SOLUNIA_GLYPH_2_1_BOMB_COUNT %> @Ability1 в точку каста @Ability3"

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_3_1"		"[T3-1] Glyph of Phoenixia"
		"item_rpc_solunia_glyph_3_1_description" 				"Восстанавливает всё Здоровье и Ману при успешном прочтении @Ability4"

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_4_1"		"[T4-1] Glyph of Crescents"
		"item_rpc_solunia_glyph_4_1_description" 				"Увеличивает максимальное количество бумерангов @Ability2 на <% SOLUNIA_GLYPH_4_1_BOOMERANG_COUNT %>"

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_5_1"		"[T5-1] Glyph of Neutrino"
		"item_rpc_solunia_glyph_5_1_description" 				"Добавляет <% SOLUNIA_GLYPH_5_1_ATK_PWR_TO_Q %>% от Силы Атаки к урону @Ability1."
		
		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_6_1"		"[T6-1] Glyph of Light Years"
		"item_rpc_solunia_glyph_6_1_description" 				"Warp Flare имеет дополнительный прыжок."

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_7_1"		"[T7-1] Glyph of Cryoshock"
		"item_rpc_solunia_glyph_7_1_description" 				"Если @Ability2 наносит критический удар, все противники в радиусе <% SOLUNIA_GLYPH_7_1_FREEZE_RADIUS %> замораживаются на <% SOLUNIA_GLYPH_7_1_FREEZE_DURATION %> сек."

        "DOTA_Tooltip_modifier_solunia_glyph_7_1_freeze"        "Cryoshock"
        "DOTA_Tooltip_modifier_solunia_glyph_7_1_freeze_Description"    "Заморожен"

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_5_a"		"[T5-a] Glyph of Protostar"
		"item_rpc_solunia_glyph_5_a_description" 				"Последний прыжок @Ability3 применяет @Ability4 без активации перезарядки."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_1_2"       "[T1-2] Glyph of Inertia"
        "item_rpc_solunia_glyph_1_2_description"                "Применение @Ability3 выпускает атаку по всем противникам в радиусе <% SOLUNIA_GLYPH_1_2_ATTACK_RADIUS %>."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_2_2"       "[T2-2] Glyph of Gravitron"
        "item_rpc_solunia_glyph_2_2_description"                "Создает область с вакуумом радиусом <% SOLUNIA_GLYPH_2_2_RADIUS %> во время зарядки @Ability4."

        "DOTA_Tooltip_modifier_solunia_glyph_2_2_pull"          "Orbital Nuke"
        "DOTA_Tooltip_modifier_solunia_glyph_2_2_pull_Description"  "Обездвижен" 

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_3_2"       "[T3-2] Glyph of Blueshift"
        "item_rpc_solunia_glyph_3_2_description"                "Увеличивает Скорость Поворота героя на <% SOLUNIA_GLYPH_3_2_TURN_RATE_BONUS %>% и Скорость Передвижения на <% SOLUNIA_GLYPH_3_2_MS_BONUS %>."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_4_2"       "[T4-2] Glyph of Meteor Showers"
        "item_rpc_solunia_glyph_4_2_description"                "Во время зарядки @Ability4 запускает @Ability1 в случайного противника в радиусе <% SOLUNIA_GLYPH_4_2_RANGE %> каждые <% SOLUNIA_GLYPH_4_2_BOMB_INTERVAL %> сек."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_5_2"       "[T5-2] Glyph of Ion Blades"
        "item_rpc_solunia_glyph_5_2_description"                "@Ability2 примагничивается к противникам (бумеранги), либо образует дополнительно <% SOLUNIA_GLYPH_5_2_ADDITIONAL_VORPAL_BLADES %> лезвий (Vorpal Blades)"
        
        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_6_2"       "[T6-2] Glyph of Event Horizon"
        "item_rpc_solunia_glyph_6_2_description"                "Если @Ability2 задевает противника, есть шанс <% SOLUNIA_GLYPH_6_2_EXPLOSION_CHANCE %>% активировать взрыв @Ability4."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_7_2"       "[T7-2] Glyph of Magnetosphere"

        "item_rpc_solunia_glyph_7_2_description"                "Прочтение @Ability4 запускает максимально допустимое количество @Ability2 во все направления."
        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_book"      "Книга Глифов Solunia"

		//Weapons
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_00"		"Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_01"		"Crescent Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_02"		"Moon Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_03"		"Sun Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_11"		"Mercury Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_12"		"Jupiter Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_13"		"Saturn Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_14"		"Neptune Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_21"		"Periheleon Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_22"		"Event Horizon Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_23"		"Ellipsis Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_24"		"Extragalactic Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_25"		"Earthbound Meteor Razor"
		
		"DOTA_Tooltip_ability_item_rpc_solunia_immortal_weapon_1"		"Shooting Star"
		"item_property_solunia_immortal_weapon"							"Thales Shield"
		"property_solunia_immortal_weapon_description"					"Приказ остановки передвижения даёт герою щит, снижающий входящий урон на 100% на <% SOLUNIA_IMMORTAL_WEAPON_1_DURATION %> seconds. <% SOLUNIA_IMMORTAL_WEAPON_1_COOLDOWN %> сек перезарядки."

        "DOTA_Tooltip_modifier_solunia_immortal_weapon_1_thales_shield"     "Thales Shield"
        "DOTA_Tooltip_modifier_solunia_immortal_weapon_1_thales_shield_Description" "Получаемый Урон снижен на 100%" 
		
		"DOTA_Tooltip_ability_item_rpc_solunia_immortal_weapon_2"            "Alien Husk of Synesthesia"
        "item_property_solunia_immortal_weapon2"                             "Aetherion Rain"
        "property_solunia_immortal_weapon2_description"                      "Увеличивает время полёта между Warp Flares на <% SOLUNIA_IMMORTAL_WEAPON_2_FLOAT_DURATION_INCREASE %> и увеличивает максимум зарядов прыжков Warp Flare на 1."

        "DOTA_Tooltip_ability_item_rpc_solunia_immortal_weapon_3"            "Galactic Blades of Orbit"
        "item_property_solunia_immortal_weapon3"                             "Alpha Spark"
        "property_solunia_immortal_weapon3_description"                      "@Ability4 произносится мгновенно и телепортирует в выбранную точку, максимальная дальность <% SOLUNIA_IMMORTAL_WEAPON_3_CAST_RANGE %>."
