		//Abilities
		"solunia_q"															"Solar and Lunar Napalm"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_lunar_base_bounces"         "BOUNCES:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_lunar_atk_power_added_to_dmg" "% ATTACK POWER ADDED TO BASE DAMAGE:"

        "DOTA_Tooltip_modifier_vorpal_blades_counter_lunar"                         "Active Lunar Vorpal Blades"

        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic"                    "Galactic Vorpal Blades"             
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_Description"        "Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_FIRE>Fire</font><br>Throws out 3 galactic vorpal blades that seek out enemies within 1000 range of Solunia. The blades deal damage on hit and can bounce to other enemies if there are any nearby."
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_damage"             "DAMAGE:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_max_blades"           "MAXIMUM ACTIVE CONCURRENT BLADES:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_base_bounces"         "BOUNCES:"
        "DOTA_Tooltip_ability_solunia_vorpal_blades_galactic_atk_power_added_to_dmg" "% ATTACK POWER ADDED TO BASE DAMAGE:"

        "DOTA_Tooltip_modifier_vorpal_blades_counter_galactic"                         "Active Galactic Vorpal Blades"

        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3"                     "[W1] Binary Rift"
        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3_Description"         "Grants Vorpal Blades a <% SOLUNIA_ARCANA_W1_CRIT_CHANCE %>% chance to deal a critical strike."
        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3_property_one"        "Additional Critical Damage"
        "DOTA_Tooltip_ability_solunia_rune_w_1_arcana3_suffix"              "%"

        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3"                     "[W2] Blades of Neptune"
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_Description"             "Vorpal Blades restore mana to Solunia when striking an enemy, and deal additional damage based on her current mana."
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_property_one"            "Mana Restored"
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_suffix"                  " per hit" 
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_property_two"            "Additional Damage"
        "DOTA_Tooltip_ability_solunia_rune_w_2_arcana3_suffix_two"              "% of current mana" 


        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3"                     "[W3] Aphelion Weapon"
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_Description"         "Increases the Mana Cost of W and increases [W] Base Ability Damage."
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_property_one"            "Additional Mana Cost"
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_suffix"                  ""
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_property_two"            "[W] Base Ability Damage"
        "DOTA_Tooltip_ability_solunia_rune_w_3_arcana3_suffix_two"             "%"



        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3"                     "[W4] Elliptical Orbit"
        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3_Description"         "Gives Vorpal Blades a chance to bounce additional times. Greater than 100% means they can gain multiple extra bounces."
        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3_property_one"        "Chance for additional bounce"
        "DOTA_Tooltip_ability_solunia_rune_w_4_arcana3_suffix"              "%"

        
		
		//Glyphs
		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_1_1"		"[T1-1] Glyph of Orbital Nuke"
		"item_rpc_solunia_glyph_1_1_description" 				"Create a vacuum of <% SOLUNIA_GLYPH_1_1_RADIUS %> radius at the cast point of @Ability1 that pushes enemies toward the target position."

        "DOTA_Tooltip_modifier_solunia_glyph_1_1_pull"          "Orbital Nuke"
        "DOTA_Tooltip_modifier_solunia_glyph_1_1_pull_Description"  "Rooted" 
        
        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_2_1"       "[T2-1] Glyph of Azimuth"
        "item_rpc_solunia_glyph_2_1_description"                "Throw <% SOLUNIA_GLYPH_2_1_BOMB_COUNT %> @Ability1 at the cast point of @Ability3"

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_3_1"		"[T3-1] Glyph of Phoenixia"
		"item_rpc_solunia_glyph_3_1_description" 				"Restore Max Health and Mana on successful cast of @Ability4"

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_4_1"		"[T4-1] Glyph of Crescents"
		"item_rpc_solunia_glyph_4_1_description" 				"Increases the maximum number of conccurrent @Ability2 by <% SOLUNIA_GLYPH_4_1_BOOMERANG_COUNT %>"

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_5_1"		"[T5-1] Glyph of Neutrino"
		"item_rpc_solunia_glyph_5_1_description" 				"Adds <% SOLUNIA_GLYPH_5_1_ATK_PWR_TO_Q %>% of Attack Power to the base damage of @Ability1."
		
		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_6_1"		"[T6-1] Glyph of Light Years"
		"item_rpc_solunia_glyph_6_1_description" 				"Warp Flare has 1 extra jump sequence."

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_7_1"		"[T7-1] Glyph of Cryoshock"
		"item_rpc_solunia_glyph_7_1_description" 				"When @Ability2 crits, freeze all enemies in <% SOLUNIA_GLYPH_7_1_FREEZE_RADIUS %> range for <% SOLUNIA_GLYPH_7_1_FREEZE_DURATION %> seconds."

        "DOTA_Tooltip_modifier_solunia_glyph_7_1_freeze"        "Cryoshock"
        "DOTA_Tooltip_modifier_solunia_glyph_7_1_freeze_Description"    "Frozen"

		"DOTA_Tooltip_ability_item_rpc_solunia_glyph_5_a"		"[T5-a] Glyph of Protostar"
		"item_rpc_solunia_glyph_5_a_description" 				"The last jump of @Ability3 completes a successful cast of @Ability4 without activating its cooldown."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_1_2"       "[T1-2] Glyph of Inertia"
        "item_rpc_solunia_glyph_1_2_description"                "Casting @Ability3 throws an attack toward all enemies in <% SOLUNIA_GLYPH_1_2_ATTACK_RADIUS %> range."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_2_2"       "[T2-2] Glyph of Gravitron"
        "item_rpc_solunia_glyph_2_2_description"                "Create a vacuum of <% SOLUNIA_GLYPH_2_2_RADIUS %> radius while channeling @Ability4."

        "DOTA_Tooltip_modifier_solunia_glyph_2_2_pull"          "Orbital Nuke"
        "DOTA_Tooltip_modifier_solunia_glyph_2_2_pull_Description"  "Rooted" 

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_3_2"       "[T3-2] Glyph of Blueshift"
        "item_rpc_solunia_glyph_3_2_description"                "Increases Turn Rate by <% SOLUNIA_GLYPH_3_2_TURN_RATE_BONUS %>% and Movespeed by <% SOLUNIA_GLYPH_3_2_MS_BONUS %>."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_4_2"       "[T4-2] Glyph of Meteor Showers"
        "item_rpc_solunia_glyph_4_2_description"                "While channeling @Ability4 throw a @Ability1 at a random enemy within <% SOLUNIA_GLYPH_4_2_RANGE %> range every <% SOLUNIA_GLYPH_4_2_BOMB_INTERVAL %> seconds."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_5_2"       "[T5-2] Glyph of Ion Blades"
        "item_rpc_solunia_glyph_5_2_description"                "@Ability2 can stick to enemies (Boomerang) or throws up to <% SOLUNIA_GLYPH_5_2_ADDITIONAL_VORPAL_BLADES %> additional blades (Vorpal Blades)"
        
        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_6_2"       "[T6-2] Glyph of Event Horizon"
        "item_rpc_solunia_glyph_6_2_description"                "When @Ability2 hits an enemy, there is a <% SOLUNIA_GLYPH_6_2_EXPLOSION_CHANCE %>% chance to trigger an explosion of @Ability4."

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_7_2"       "[T7-2] Glyph of Magnetosphere"
        "item_rpc_solunia_glyph_7_2_description"                "Casting @Ability4 throws the maximum number of @Ability2 in all directions"

        "DOTA_Tooltip_ability_item_rpc_solunia_glyph_book"      "Solunia Glyph Book"

		//Weapons
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_00"		"Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_01"		"Crescent Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_02"		"Moon Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_03"		"Sun Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_11"		"Mercury Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_12"		"Jupiter Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_13"		"Saturn Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_14"		"Neptune Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_21"		"Periheleon Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_22"		"Event Horizon Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_23"		"Ellipsis Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_24"		"Extragalactic Razor"
		"DOTA_Tooltip_ability_item_rpc_solunia_weapon_25"		"Earthbound Meteor Razor"
		
		"DOTA_Tooltip_ability_item_rpc_solunia_immortal_weapon_1"		"Shooting Star"
		"item_property_solunia_immortal_weapon"							"Thales Shield"
		"property_solunia_immortal_weapon_description"					"Issuing a Stop Order applies a shield that reduces all damage taken by 100% for <% SOLUNIA_IMMORTAL_WEAPON_1_DURATION %> seconds. <% SOLUNIA_IMMORTAL_WEAPON_1_COOLDOWN %> second cooldown."

        "DOTA_Tooltip_modifier_solunia_immortal_weapon_1_thales_shield"     "Thales Shield"
        "DOTA_Tooltip_modifier_solunia_immortal_weapon_1_thales_shield_Description" "All Damage taken reduced by 100%" 
		
		"DOTA_Tooltip_ability_item_rpc_solunia_immortal_weapon_2"            "Alien Husk of Synesthesia"
        "item_property_solunia_immortal_weapon2"                             "Aetherion Rain"
        "property_solunia_immortal_weapon2_description"                      "Increases the floating time in between Warp Flares by <% SOLUNIA_IMMORTAL_WEAPON_2_FLOAT_DURATION_INCREASE %> and increases the maximum Warp Flare jumps by 1."

        "DOTA_Tooltip_ability_item_rpc_solunia_immortal_weapon_3"            "Galactic Blades of Orbit"
        "item_property_solunia_immortal_weapon3"                             "Alpha Spark"
        "property_solunia_immortal_weapon3_description"                      "@Ability4 has no channel time and teleports you to the target cast position with <% SOLUNIA_IMMORTAL_WEAPON_3_CAST_RANGE %> range."
